id,product_id,type,cpu,hertz,cores,gpu,ram,ram_type,ssd,drive_size,extra,created_at
10,100188748,моноблок,intel core i5 9400t,1800,6,nvidia geforce mx110,8,,false,1000,"{""Wi-Fi"": ""да"", ""Вес"": ""5.9 кг"", ""Тип"": ""моноблок"", ""Цвет"": ""белый"", ""Картридер"": ""да"", ""Процессор"": ""Intel Core i5 9400T"", ""Интерфейс HDMI"": ""да"", ""Комплектация"": ""мышь, клавиатура"", ""Размер экрана"": ""23.8 дюйм"", ""Интерфейс USB 3.0"": ""да"", ""Тип видеокарты"": ""дискретная"", ""Видеопроцессор"": ""NVIDIA GeForce MX110"", ""Габариты (ДхШхТ)"": ""540.9x419.5x16.3 мм"", ""Сенсорный экран"": ""нет"", ""Установленная ОС"": ""DOS"", ""Разрешение экрана"": ""1920x1080"", ""Размер видеопамяти"": ""2048 Мб"", ""Частота процессора"": ""1800 МГц"", ""Объем жесткого диска"": ""1000 Гб"", ""Твердотельный диск (SSD)"": ""нет"", ""Количество интерфейсов"": ""2 x USB 2.0, 2 x USB 3.0, HDMI-Out"", ""Тип оптического привода"": ""отсутствует"", ""Размер оперативной памяти"": ""8 Гб"", ""Дополнительная информация"": ""слот для замка Kensington Lock, веб-камера HP Privacy с разрешением HD и двумя микрофонами; в комплекте проводные клавиатура и мышь"", ""Количество ядер процессора"": ""6 ядер""}",2020-04-29
11,100120419,системный блок,intel сore i3 9100f,3600,4,geforce gtx 1050 ti,8,,true,480,"{""Тип"": ""системный блок"", ""Цвет"": ""черный"", ""Процессор"": ""Intel Сore i3 9100F"", ""Интерфейс USB 3.0"": ""да"", ""Тип видеокарты"": ""дискретная"", ""Видеопроцессор"": ""GeForce GTX 1050 Ti"", ""Установленная ОС"": ""DOS"", ""Размер видеопамяти"": ""4096 Мб"", ""Частота процессора"": ""3600 МГц"", ""Объем жесткого диска"": ""480 Гб"", ""Твердотельный диск (SSD)"": ""да"", ""Количество интерфейсов"": ""2x USB 2.0, USB 3.0, микрофон, наушники"", ""Тип оптического привода"": ""отсутствует"", ""Размер оперативной памяти"": ""8 Гб"", ""Дополнительная информация"": ""блок питания на 500 Вт"", ""Количество ядер процессора"": ""4 ядра""}",2020-04-29
12,100109543,системный блок,intel сore i5-9400f,2900,6,gtx 1660 super 6gb,6,,true,480,"{""Тип"": ""системный блок"", ""Цвет"": ""черный"", ""Процессор"": ""Intel Сore i5-9400F"", ""Интерфейс HDMI"": ""да"", ""Интерфейс USB 3.0"": ""да"", ""Тип видеокарты"": ""дискретная"", ""Видеопроцессор"": ""GTX 1660 SUPER 6Gb"", ""Установленная ОС"": ""DOS"", ""Размер видеопамяти"": ""6144 Мб"", ""Частота процессора"": ""2900 МГц"", ""Настенное крепление"": ""нет"", ""Объем жесткого диска"": ""480 Гб"", ""Твердотельный диск (SSD)"": ""да"", ""Количество интерфейсов"": ""2х USB 2.0, 1х USB 3.0"", ""Тип оптического привода"": ""отсутствует"", ""Размер оперативной памяти"": ""16 Гб"", ""Количество ядер процессора"": ""6 ядер""}",2020-04-29
13,1480790,моноблок,j4005,2000,2,intel uhd graphics 600,4,,,1000,"{""Wi-Fi"": ""да"", ""Вес"": ""4 кг"", ""Тип"": ""моноблок"", ""Цвет"": ""черный"", ""Мультитач"": ""нет"", ""Процессор"": ""J4005"", ""Интерфейс HDMI"": ""да"", ""Комплектация"": ""мышь, клавиатура"", ""Размер экрана"": ""19.5 дюйм"", ""Интерфейс USB 3.0"": ""да"", ""Тип видеокарты"": ""встроенная"", ""Видеопроцессор"": ""Intel UHD Graphics 600"", ""Габариты (ДхШхТ)"": ""460x73.5x395 мм"", ""Сенсорный экран"": ""нет"", ""Установленная ОС"": ""ОС не установлена"", ""Разрешение экрана"": ""1440х900"", ""Частота процессора"": ""2000 МГц"", ""Объем жесткого диска"": ""1000 Гб"", ""Количество интерфейсов"": ""3x USB 2.0, 2x USB 3.1, HDMI"", ""Тип оптического привода"": ""DVD-RW"", ""Размер оперативной памяти"": ""4 Гб"", ""Количество ядер процессора"": ""2 ядра""}",2020-04-29
14,100109567,системный блок,intel сore i3 9100f,3600,4,gtx 1650 4gb,8,,true,480,"{""Тип"": ""системный блок"", ""Цвет"": ""черный"", ""Процессор"": ""Intel Сore i3 9100F"", ""Интерфейс HDMI"": ""да"", ""Интерфейс USB 3.0"": ""да"", ""Тип видеокарты"": ""дискретная"", ""Видеопроцессор"": ""GTX 1650 4Gb"", ""Установленная ОС"": ""DOS"", ""Размер видеопамяти"": ""4096 Мб"", ""Частота процессора"": ""3600 МГц"", ""Объем жесткого диска"": ""480 Гб"", ""Твердотельный диск (SSD)"": ""да"", ""Количество интерфейсов"": ""2х USB 2.0, 1х USB 3.0"", ""Тип оптического привода"": ""отсутствует"", ""Размер оперативной памяти"": ""8 Гб"", ""Количество ядер процессора"": ""4 ядра""}",2020-04-29
15,100057065,системный блок,intel pentium gold g5400,3700,2,geforce gt 1030 oc + intel uhd graphics 610,8,,true,240,"{""Тип"": ""системный блок"", ""Процессор"": ""Intel Pentium Gold G5400"", ""Тип видеокарты"": ""дискретная и встроенная"", ""Видеопроцессор"": ""GeForce GT 1030 OC (дискретная), Intel UHD Graphics 610 (встроенная)"", ""Установленная ОС"": ""DOS"", ""Размер видеопамяти"": ""2048 Мб"", ""Частота процессора"": ""3700 МГц"", ""Объем жесткого диска"": ""240 Гб"", ""Твердотельный диск (SSD)"": ""да"", ""Количество интерфейсов"": ""2x USB 2.0, USB 3.0, микрофон, наушники"", ""Тип оптического привода"": ""отсутствует"", ""Размер оперативной памяти"": ""8 Гб"", ""Количество ядер процессора"": ""2 ядра""}",2020-04-29
16,1480171,моноблок,intel core i5 8250u,2200,2,intel hd graphics 620,8,,false,1000,"{""Wi-Fi"": ""да"", ""Тип"": ""моноблок"", ""Цвет"": ""серебристый"", ""Мультитач"": ""нет"", ""Процессор"": ""Intel Core i5 8250U"", ""Интерфейс HDMI"": ""да"", ""Комплектация"": ""мышь, клавиатура"", ""Размер экрана"": ""23.8 дюйм"", ""Интерфейс USB 3.0"": ""нет"", ""Тип видеокарты"": ""встроенная"", ""Видеопроцессор"": ""Intel HD Graphics 620"", ""Габариты (ДхШхТ)"": ""321x540x11.6 мм"", ""Сенсорный экран"": ""нет"", ""Установленная ОС"": ""Win 10"", ""Разрешение экрана"": ""1920x1080"", ""Частота процессора"": ""2200 МГц"", ""Объем жесткого диска"": ""1000 Гб"", ""Твердотельный диск (SSD)"": ""нет"", ""Количество интерфейсов"": ""2x USB 2.0, 2x USB 3.1, 1x Комбинированный наушники/микрофон вход (4 pin 3.5mm разъем) / 1x LAN RJ45 / HDMI"", ""Тип оптического привода"": ""отсутствует"", ""Размер оперативной памяти"": ""8 Гб"", ""Количество ядер процессора"": ""2 ядра""}",2020-04-29
17,100010141,системный блок,intel core i5 9400f,2900,6,gtx 1030 2gb,8,,false,1000,"{""Тип"": ""системный блок"", ""Процессор"": ""Intel Core i5 9400F"", ""Тип видеокарты"": ""дискретная"", ""Видеопроцессор"": ""GTX 1030 2Gb"", ""Установленная ОС"": ""DOS"", ""Размер видеопамяти"": ""2048 Мб"", ""Частота процессора"": ""2900 МГц"", ""Объем жесткого диска"": ""1000 Гб"", ""Твердотельный диск (SSD)"": ""нет"", ""Тип оптического привода"": ""отсутствует"", ""Размер оперативной памяти"": ""8 Гб"", ""Количество ядер процессора"": ""6 ядер""}",2020-04-29
18,1401872,системный блок,intel core i5 7400,2133,4,gtx 1050 ti,8,,true,1000,"{""Тип"": ""системный блок"", ""Цвет"": ""черный"", ""Процессор"": ""Intel Core i5 7400"", ""Интерфейс HDMI"": ""да"", ""Интерфейс USB 3.0"": ""да"", ""Тип видеокарты"": ""дискретная"", ""Видеопроцессор"": ""GTX 1050 Ti"", ""Установленная ОС"": ""Win 10"", ""Частота процессора"": ""2133 МГц"", ""Настенное крепление"": ""нет"", ""Объем жесткого диска"": ""1000 Гб"", ""Твердотельный диск (SSD)"": ""да"", ""Размер оперативной памяти"": ""8 Гб"", ""Дополнительная информация"": ""Win 10 пробная на 30 дней"", ""Количество ядер процессора"": ""4 ядра""}",2020-04-29
19,100083674,моноблок,amd a4-9125,2300,2,amd radeon r3,4,,false,500,"{""Wi-Fi"": ""да"", ""Вес"": ""5.9 кг"", ""Тип"": ""моноблок"", ""Цвет"": ""черный"", ""Картридер"": ""да"", ""Процессор"": ""AMD A4-9125"", ""Интерфейс HDMI"": ""да"", ""Комплектация"": ""мышь, клавиатура"", ""Размер экрана"": ""19.5 дюйм"", ""Тип видеокарты"": ""встроенная"", ""Видеопроцессор"": ""AMD Radeon R3"", ""Сенсорный экран"": ""нет"", ""Установленная ОС"": ""DOS"", ""Разрешение экрана"": ""1440х900"", ""Частота процессора"": ""2300 МГц"", ""Настенное крепление"": ""нет"", ""Объем жесткого диска"": ""500 Гб"", ""Твердотельный диск (SSD)"": ""нет"", ""Тип оптического привода"": ""отсутствует"", ""Размер оперативной памяти"": ""4 Гб"", ""Количество ядер процессора"": ""2 ядра""}",2020-04-29
20,100181390,системный блок,intel сore i5-9400f,2900,6,gigabyte rtx 2060,6,,true,480,"{""Тип"": ""системный блок"", ""Цвет"": ""черный"", ""Процессор"": ""Intel Сore i5-9400F"", ""Тип видеокарты"": ""дискретная"", ""Видеопроцессор"": ""Gigabyte RTX 2060"", ""Установленная ОС"": ""DOS"", ""Размер видеопамяти"": ""6144 Мб"", ""Частота процессора"": ""2900 МГц"", ""Объем жесткого диска"": ""480 Гб"", ""Твердотельный диск (SSD)"": ""да"", ""Количество интерфейсов"": ""2х USB 2.0, 1х USB 3.0, 1x микрофон, 1x наушники"", ""Тип оптического привода"": ""отсутствует"", ""Размер оперативной памяти"": ""16 Гб"", ""Количество ядер процессора"": ""6 ядер""}",2020-04-29
21,100083075,моноблок,intel core i3 8130u,2200,2,intel hd graphics 620,8,,false,1000,"{""Wi-Fi"": ""да"", ""Тип"": ""моноблок"", ""Цвет"": ""серебристый"", ""Мультитач"": ""нет"", ""Процессор"": ""Intel Core i3 8130U"", ""Интерфейс HDMI"": ""да"", ""Размер экрана"": ""21.5 дюйм"", ""Тип видеокарты"": ""встроенная"", ""Видеопроцессор"": ""Intel HD Graphics 620"", ""Сенсорный экран"": ""нет"", ""Установленная ОС"": ""Linux"", ""Разрешение экрана"": ""1920x1080"", ""Частота процессора"": ""2200 МГц"", ""Настенное крепление"": ""нет"", ""Объем жесткого диска"": ""1000 Гб"", ""Твердотельный диск (SSD)"": ""нет"", ""Тип оптического привода"": ""отсутствует"", ""Размер оперативной памяти"": ""8 Гб"", ""Количество ядер процессора"": ""2 ядра""}",2020-04-29
22,1480555,системный блок,intel core i3 6100,3700,2,gtx 1050 ti,8,,true,1000,"{""Тип"": ""системный блок"", ""Цвет"": ""черный"", ""Процессор"": ""Intel Core i3 6100"", ""Интерфейс HDMI"": ""да"", ""Интерфейс USB 3.0"": ""да"", ""Тип видеокарты"": ""дискретная"", ""Видеопроцессор"": ""GTX 1050 Ti"", ""Установленная ОС"": ""Win 10"", ""Размер видеопамяти"": ""4096 Мб"", ""Частота процессора"": ""3700 МГц"", ""Настенное крепление"": ""нет"", ""Объем жесткого диска"": ""1000 Гб"", ""Твердотельный диск (SSD)"": ""да"", ""Размер оперативной памяти"": ""8 Гб"", ""Дополнительная информация"": ""Win 10 пробная на 30 дней"", ""Количество ядер процессора"": ""2 ядра""}",2020-04-29
23,100120410,системный блок,intel сore i3 9100f,3600,4,geforce gtx 1050,6,,true,480,"{""Тип"": ""системный блок"", ""Цвет"": ""черный"", ""Процессор"": ""Intel Сore i3 9100F"", ""Интерфейс USB 3.0"": ""да"", ""Тип видеокарты"": ""дискретная"", ""Видеопроцессор"": ""GeForce GTX 1050"", ""Установленная ОС"": ""DOS"", ""Размер видеопамяти"": ""2048 Мб"", ""Частота процессора"": ""3600 МГц"", ""Объем жесткого диска"": ""480 Гб"", ""Твердотельный диск (SSD)"": ""да"", ""Количество интерфейсов"": ""USB 2.0, USB 3.0, микрофон, наушники"", ""Размер оперативной памяти"": ""16 Гб"", ""Дополнительная информация"": ""блок питания на 400 Вт"", ""Количество ядер процессора"": ""4 ядра""}",2020-04-29
24,100162808,моноблок,intel core i7 8700t,4000,6,radeon r7 m460,8,,false,1000,"{""Wi-Fi"": ""да"", ""Вес"": ""5.7 кг"", ""Тип"": ""моноблок"", ""Цвет"": ""черный"", ""Картридер"": ""да"", ""Процессор"": ""Intel Core i7 8700T"", ""Интерфейс HDMI"": ""да"", ""Комплектация"": ""мышь, клавиатура"", ""Размер экрана"": ""23.8 дюйм"", ""Тип видеокарты"": ""дискретная"", ""Видеопроцессор"": ""Radeon R7 M460"", ""Габариты (ДхШхТ)"": ""53.96x42x15 см"", ""Сенсорный экран"": ""нет"", ""Установленная ОС"": ""DOS"", ""Разрешение экрана"": ""1920x1080"", ""Размер видеопамяти"": ""2048 Мб"", ""Частота процессора"": ""4000 МГц"", ""Настенное крепление"": ""нет"", ""Объем жесткого диска"": ""1000 Гб"", ""Твердотельный диск (SSD)"": ""нет"", ""Тип оптического привода"": ""DVD/CD-RW"", ""Размер оперативной памяти"": ""8 Гб"", ""Количество ядер процессора"": ""6 ядер""}",2020-04-29
25,1401577,моноблок,intel core i5 7360u,2300,2,iris plus graphics 650,8,,false,1000,"{""Wi-Fi"": ""да"", ""Вес"": ""5.68 кг"", ""Тип"": ""моноблок"", ""Цвет"": ""серебристый"", ""Картридер"": ""да"", ""Мультитач"": ""нет"", ""Процессор"": ""Intel Core i5 7360U"", ""Интерфейс HDMI"": ""нет"", ""Комплектация"": ""мышь, клавиатура"", ""Размер экрана"": ""21.5 дюйм"", ""Интерфейс USB 3.0"": ""да"", ""Тип видеокарты"": ""встроенная"", ""Видеопроцессор"": ""Iris Plus Graphics 650"", ""Габариты (ДхШхТ)"": ""52.8x45x17.5 см"", ""Сенсорный экран"": ""нет"", ""Установленная ОС"": ""MacOS X"", ""Разрешение экрана"": ""1920x1080"", ""Частота процессора"": ""2300 МГц"", ""Настенное крепление"": ""нет"", ""Объем жесткого диска"": ""1000 Гб"", ""Твердотельный диск (SSD)"": ""нет"", ""Количество интерфейсов"": ""4 х USB 3.0, 1 х RJ-45, 2 x Thunderbolt, Card Reader, Line-out"", ""Тип оптического привода"": ""отсутствует"", ""Размер оперативной памяти"": ""8 Гб"", ""Дополнительная информация"": ""корпус с прекрасным дизайном, изготовленный из анодированного алюминия и стекла"", ""Количество ядер процессора"": ""2 ядра""}",2020-04-29
26,100114445,системный блок,amd ryzen 5 3500,3600,6,geforce gt 1030,8,,true,480,"{""Тип"": ""системный блок"", ""Цвет"": ""черный"", ""Процессор"": ""AMD Ryzen 5 3500"", ""Интерфейс USB 3.0"": ""да"", ""Тип видеокарты"": ""дискретная"", ""Видеопроцессор"": ""GeForce GT 1030"", ""Установленная ОС"": ""DOS"", ""Размер видеопамяти"": ""2048 Мб"", ""Частота процессора"": ""3600 МГц"", ""Объем жесткого диска"": ""480 Гб"", ""Твердотельный диск (SSD)"": ""да"", ""Количество интерфейсов"": ""USB 2.0, USB 3.0, микрофон, наушники"", ""Тип оптического привода"": ""отсутствует"", ""Размер оперативной памяти"": ""8 Гб"", ""Дополнительная информация"": ""блок питания на 400 Вт"", ""Количество ядер процессора"": ""6 ядер""}",2020-04-29
27,100083471,системный блок,amd ryzen 3 3200g,3600,4,radeon vega 8 graphics,8,,true,1240,"{""Тип"": ""системный блок"", ""Цвет"": ""черный"", ""Процессор"": ""AMD Ryzen 3 3200G"", ""Интерфейс USB 3.0"": ""да"", ""Тип видеокарты"": ""встроенная"", ""Видеопроцессор"": ""Radeon Vega 8 Graphics"", ""Установленная ОС"": ""DOS"", ""Частота процессора"": ""3600 МГц"", ""Объем жесткого диска"": ""1240 Гб"", ""Твердотельный диск (SSD)"": ""да"", ""Количество интерфейсов"": ""USB 2.0, USB 3.0, микрофон, наушники"", ""Тип оптического привода"": ""DVD/CD-RW"", ""Размер оперативной памяти"": ""8 Гб"", ""Дополнительная информация"": ""блок питания на 400 Вт"", ""Количество ядер процессора"": ""4 ядра""}",2020-04-29
28,100010087,системный блок,intel core i3 9100f,3600,4,gt 1030,8,,false,1000,"{""Тип"": ""системный блок"", ""Цвет"": ""черный"", ""Процессор"": ""Intel Core i3 9100F"", ""Тип видеокарты"": ""дискретная"", ""Видеопроцессор"": ""GT 1030"", ""Установленная ОС"": ""DOS"", ""Размер видеопамяти"": ""2048 Мб"", ""Частота процессора"": ""3600 МГц"", ""Объем жесткого диска"": ""1000 Гб"", ""Твердотельный диск (SSD)"": ""нет"", ""Тип оптического привода"": ""отсутствует"", ""Размер оперативной памяти"": ""8 Гб"", ""Дополнительная информация"": ""корпус с RGB подсветкой"", ""Количество ядер процессора"": ""4 ядра""}",2020-04-29
29,100046231,моноблок,intel core i3 9100t,3100,4,intel uhd graphics 630,4,,false,1000,"{""Wi-Fi"": ""да"", ""Вес"": ""4.5 кг"", ""Тип"": ""моноблок"", ""Цвет"": ""белый"", ""Процессор"": ""Intel Core i3 9100T"", ""Интерфейс HDMI"": ""да"", ""Комплектация"": ""мышь, клавиатура"", ""Размер экрана"": ""21.5 дюйм"", ""Интерфейс USB 3.0"": ""да"", ""Тип видеокарты"": ""встроенная"", ""Видеопроцессор"": ""Intel UHD Graphics 630"", ""Габариты (ДхШхТ)"": ""49x39.5x20.4 см"", ""Установленная ОС"": ""Win 10"", ""Разрешение экрана"": ""1920x1080"", ""Частота процессора"": ""3100 МГц"", ""Объем жесткого диска"": ""1000 Гб"", ""Твердотельный диск (SSD)"": ""нет"", ""Количество интерфейсов"": ""2 x USB 2.0, 2 x USB 3.0, 1 x HDMI-Out, 1 x RJ-45, Mic in/ Line out"", ""Тип оптического привода"": ""отсутствует"", ""Размер оперативной памяти"": ""4 Гб"", ""Дополнительная информация"": ""блок питания 90 Вт, слот для замка Kensington Lock"", ""Количество ядер процессора"": ""4 ядра""}",2020-04-29
30,1480558,системный блок,intel core i7 7700,3600,4,gtx 1070,6,,true,2000,"{""Тип"": ""системный блок"", ""Цвет"": ""черный"", ""Процессор"": ""Intel Core i7 7700"", ""Интерфейс HDMI"": ""да"", ""Интерфейс USB 3.0"": ""да"", ""Тип видеокарты"": ""дискретная"", ""Видеопроцессор"": ""GTX 1070"", ""Установленная ОС"": ""Win 10"", ""Частота процессора"": ""3600 МГц"", ""Настенное крепление"": ""нет"", ""Объем жесткого диска"": ""2000 Гб"", ""Твердотельный диск (SSD)"": ""да"", ""Размер оперативной памяти"": ""16 Гб"", ""Дополнительная информация"": ""Win 10 пробная на 30 дней"", ""Количество ядер процессора"": ""4 ядра""}",2020-04-29
