id,gpu,rate,url
139,nvidia geforce mx230,49,https://versus.com/ru/nvidia-geforce-mx230
140,nvidia geforce mx230 + intel uhd graphics 620,49,https://versus.com/ru/nvidia-geforce-mx230
141,nvidia geforce mx230 + intel uhd graphics 630,49,https://versus.com/ru/nvidia-geforce-mx230
142,nvidia geforce mx250,49,https://versus.com/ru/nvidia-geforce-mx250
143,nvidia geforce mx250 + intel uhd graphics,49,https://versus.com/ru/nvidia-geforce-mx250
144,nvidia geforce mx250 + intel uhd graphics 620,49,https://versus.com/ru/nvidia-geforce-mx250
145,nvidia geforce mx250 2gb,49,https://versus.com/ru/nvidia-geforce-mx250
146,nvidia geforce mx250 4gb,49,https://versus.com/ru/nvidia-geforce-mx250
147,nvidia geforce rtx 2060,79,https://versus.com/ru/nvidia-geforce-rtx-2060
148,nvidia geforce rtx 2060 + intel uhd graphics 630,79,https://versus.com/ru/nvidia-geforce-rtx-2060
149,nvidia geforce rtx 2070 + intel uhd graphics 630,78,https://versus.com/ru/nvidia-geforce-rtx-2070
150,nvidia geforce rtx2080 + intel uhd graphics 630,86,https://versus.com/ru/nvidia-geforce-rtx-2080
151,radeon pro 555x,51,https://versus.com/ru/amd-radeon-550x
152,radeon pro 560x,55,https://versus.com/ru/amd-radeon-rx-560x
153,radeon pro 570x,63,https://versus.com/ru/amd-radeon-rx-570x
154,radeon pro 575x,64,https://versus.com/ru/amd-radeon-rx-570x
155,radeon rx 540x,48,https://versus.com/ru/amd-radeon-rx-540x
156,radeon vega 3,20,""
157,radeon vega 8,40,https://versus.com/ru/amd-radeon-vega-8
158,uhd graphics,15,""
159,uhd graphics 620,20,""
160,uhd605,18.5,""
161,amd radeon r7 430 + intel hd graphics 630,20,""
162,amd radeon rx 550 + intel uhd graphics 610,57,https://versus.com/ru/amd-radeon-rx-550
163,amd radeon rx 570,66,https://versus.com/ru/amd-radeon-rx-570
164,amd radeon rx vega 11,24,""
167,amd vega 11,24,""
168,asus geforce gt1030,41,https://versus.com/ru/nvidia-geforce-gt-1030-ddr4
169,asus geforce gtx 1050 3gb,63,https://versus.com/ru/asus-phoenix-geforce-gtx-1050
170,asus geforce gtx 1050 ti,66,https://versus.com/ru/asus-rog-strix-geforce-gtx-1050-ti
171,asus geforce rtx 2060 super 8gb,80,https://versus.com/ru/asus-rog-strix-geforce-rtx-2060-gaming-advanced
172,asus rtx 2070 super,85,https://versus.com/ru/asus-dual-geforce-rtx-2070-super-evo-advanced
173,colorful geforce gtx 1060,70,https://versus.com/ru/gigabyte-geforce-gtx-1060-g1-gaming
174,gainward gtx 1650 ghost,69,https://versus.com/ru/gainward-geforce-gtx-1650-ghost
175,gainward rtx 2060 super phoenix 8gb,84,https://versus.com/ru/gainward-geforce-rtx-2060-super-phoenix-gs
176,geforce gt 1030,41,https://versus.com/ru/nvidia-geforce-gt-1030-ddr4
177,geforce gt 1030 oc + intel uhd graphics 610,50,https://versus.com/ru/msi-geforce-gt-1030-2g-lp-oc
178,geforce gtx 1030 2gb,50,https://versus.com/ru/msi-geforce-gt-1030-2g-lp-oc
179,geforce gtx 1050,54,https://versus.com/ru/nvidia-geforce-gtx-1050
180,geforce gtx 1050 2gb,54,https://versus.com/ru/nvidia-geforce-gtx-1050
181,geforce gtx 1050 d5 2g,54,https://versus.com/ru/nvidia-geforce-gtx-1050
182,geforce gtx 1050 d5 2g + intel uhd graphics 610,54,https://versus.com/ru/nvidia-geforce-gtx-1050
183,geforce gtx 1050 ti,57,https://versus.com/ru/gigabyte-geforce-gtx-1050-ti-g1-gaming
185,geforce gtx 1060,63,https://versus.com/ru/nvidia-geforce-gtx-1060
186,geforce gtx 1070,71,https://versus.com/ru/nvidia-geforce-gtx-1070
188,geforce gtx 1650 super,71,https://versus.com/ru/nvidia-geforce-gtx-1650-super
189,geforce gtx 1660 super,77,https://versus.com/ru/nvidia-geforce-gtx-1660-super
190,geforce gtx1050ti,57,https://versus.com/ru/gigabyte-geforce-gtx-1050-ti-g1-gaming
191,geforce rtx 2060 6gb,79,https://versus.com/ru/nvidia-geforce-rtx-2060
192,geforce rtx 2060 super gaming oc 3x white,78,https://versus.com/ru/gigabyte-geforce-rtx-2060-super-gaming-oc
193,geforce rtx 2070 super,87,https://versus.com/ru/nvidia-geforce-rtx-2070-super
194,geforce rtx 2070 super gaming oc 3x white,82,https://versus.com/ru/asus-rog-strix-geforce-rtx-2070-super-gaming-oc
195,geil gtx1050,54,https://versus.com/ru/nvidia-geforce-gtx-1050
196,gigabyte geforce gtx 1050 (gv-n1050d5-2gd),54,https://versus.com/ru/nvidia-geforce-gtx-1050
197,gigabyte geforce gtx 1650 4gb,68,https://versus.com/ru/nvidia-geforce-gtx-1650
198,gigabyte geforce gtx 1660 super,77,https://versus.com/ru/nvidia-geforce-gtx-1660-super
199,gigabyte geforce gtx 1660ti 6gb,76,https://versus.com/ru/nvidia-geforce-gtx-1660-ti
200,gigabyte gtx 1650 4gb,68,https://versus.com/ru/nvidia-geforce-gtx-1650
201,gigabyte gtx 1660ti,76,https://versus.com/ru/nvidia-geforce-gtx-1660-ti
202,gigabyte gtx 1660ti 6gb,76,https://versus.com/ru/nvidia-geforce-gtx-1660-ti
203,gigabyte radeon rx 570 gaming 8g mi,66,https://versus.com/ru/msi-radeon-rx-570-gaming-8gb
204,gt 1030,41,https://versus.com/ru/nvidia-geforce-gt-1030-ddr4
205,gt1030 + intel uhd 610,41,https://versus.com/ru/nvidia-geforce-gt-1030-ddr4
206,gtx 1030,41,https://versus.com/ru/nvidia-geforce-gt-1030-ddr4
207,gtx 1030 2gb,41,https://versus.com/ru/nvidia-geforce-gt-1030-ddr4
208,gtx 1050 ti,57,https://versus.com/ru/gigabyte-geforce-gtx-1050-ti-g1-gaming
209,gtx 1050ti + intel uhd 630,57,https://versus.com/ru/gigabyte-geforce-gtx-1050-ti-g1-gaming
210,gtx 1060,63,https://versus.com/ru/nvidia-geforce-gtx-1060
211,gtx 1060 + intel uhd 630,63,https://versus.com/ru/nvidia-geforce-gtx-1060
212,gtx 1060 ti,69,https://versus.com/ru/msi-geforce-gtx-1060-gaming
213,gtx 1060ti + intel uhd 630,69,https://versus.com/ru/msi-geforce-gtx-1060-gaming
214,gtx 1070,71,https://versus.com/ru/nvidia-geforce-gtx-1070
215,gtx 1080 ti,84,https://versus.com/ru/nvidia-geforce-gtx-1080-ti
216,gtx 1650 4gb,68,https://versus.com/ru/nvidia-geforce-gtx-1650
217,gtx 1660,73,https://versus.com/ru/nvidia-geforce-gtx-1660
218,gtx 1660 super,77,https://versus.com/ru/nvidia-geforce-gtx-1660-super
219,gtx 1660 super 6gb,77,https://versus.com/ru/nvidia-geforce-gtx-1660-super
220,gtx 1660 ti,76,https://versus.com/ru/nvidia-geforce-gtx-1660-ti
222,intel graphics integrated 256 mb,15,""
223,intel hd 510,15,""
224,intel hd 530,17,""
226,intel hd graphics 530,17,""
228,intel hd graphics 605,17,""
234,intel uhd graphics 630 sma,20,""
235,intel uma,18,""
236,msi gtx 1650 4gb,70,https://versus.com/ru/msi-geforce-gtx-1650-gaming-x
237,msi gtx 1660 6gb,75,https://versus.com/ru/msi-geforce-gtx-1660-gaming
238,msi rtx 2060 rtx 8gb,80,https://versus.com/ru/msi-geforce-rtx-2060-gaming
239,msi rtx 2060 super 8gb,81,https://versus.com/ru/msi-geforce-rtx-2060-gaming-z
240,nvidia geforce gt 1030,41,https://versus.com/ru/nvidia-geforce-gt-1030-ddr4
241,nvidia geforce gt 1030 + intel hd graphics,41,https://versus.com/ru/nvidia-geforce-gt-1030-ddr4
242,nvidia geforce gt 1050,54,https://versus.com/ru/nvidia-geforce-gtx-1050
243,nvidia geforce gt 1050 ti,57,https://versus.com/ru/gigabyte-geforce-gtx-1050-ti-g1-gaming
244,nvidia geforce gt 730,15,""
245,nvidia geforce gt 730 + intel uhd 630,15,""
246,nvidia geforce gt1030 + intel hd graphics 630,41,https://versus.com/ru/nvidia-geforce-gt-1030-ddr4
247,nvidia geforce gtx 1030 + intel hd graphics 610,41,https://versus.com/ru/nvidia-geforce-gt-1030-ddr4
248,nvidia geforce gtx 1030 + intel hd graphics 630,41,https://versus.com/ru/nvidia-geforce-gt-1030-ddr4
250,nvidia geforce gtx 1050 + intel hd graphics,54,https://versus.com/ru/nvidia-geforce-gtx-1050
254,nvidia geforce gtx 1050ti + intel hd graphics 630,57,https://versus.com/ru/gigabyte-geforce-gtx-1050-ti-g1-gaming
255,nvidia geforce gtx 1060,63,https://versus.com/ru/nvidia-geforce-gtx-1060
257,nvidia geforce gtx 1060 + intel uhd 630,63,https://versus.com/ru/nvidia-geforce-gtx-1060
258,nvidia geforce gtx 1060 + intel uhd graphics 630,63,https://versus.com/ru/nvidia-geforce-gtx-1060
259,nvidia geforce gtx 730 + intel hd graphics,15,""
260,nvidia geforce gtx 950,53,https://versus.com/ru/gigabyte-geforce-gtx-950
261,nvidia geforce gtx1060 + intel uhd graphics 630,63,https://versus.com/ru/nvidia-geforce-gtx-1060
