p_id,category_name,p_source_id,title,price,brand,rating,reviews_quantity,cpu,cpu_rate,hertz,cores,gpu,gpu_rate,ram,ram_type,ssd,drive_size,url
5168,desktops,1480721,Game 2561 черный,279990,ПК,0,0,intel core i3 7100,72,3900,,radeon rx 570,66,8,,,1000,https://kaspi.kz/shop/p/game-2561-chernyi-1480721/?c=750000000
5169,desktops,1480778,HP ProOne 440 G4 4NT89EA черный,329899,HP,0,0,intel core i5-8500t,64,2100,6,intel uhd graphics 630,21,8,,,1000,https://kaspi.kz/shop/p/hp-proone-440-g4-4nt89ea-chernyi-1480778/?c=750000000
5175,desktops,100010064,PULSER Standard 51 черный,124185,PULSER,10,1,intel core i3 6100,66,3700,2,intel hd graphics 530,17,4,,true,240,https://kaspi.kz/shop/p/pulser-standard-51-chernyi-100010064/?c=750000000
5189,desktops,1480160,Acer Extensa X2610G DT.X0KMC.003 черный,98890,Acer,9,3,intel pentium j3710,55,1600,2,intel uma,18,4,,false,500,https://kaspi.kz/shop/p/acer-extensa-x2610g-dt-x0kmc-003-chernyi-1480160/?c=750000000
5194,desktops,100046245,HP All-in-One 24-f0187ur 8XJ18EA белый,289900,HP,6,2,intel core i3 9100t,66,3100,4,intel uhd graphics 630,21,4,,false,1000,https://kaspi.kz/shop/p/hp-all-in-one-24-f0187ur-8xj18ea-belyi-100046245/?c=750000000
5200,desktops,1480720,HP Pavilion All-in-One 27-xa0092urr 7JU30EA белый,449900,HP,0,0,9100t,66,3100,4,intel uhd graphics 630,21,4,,false,1000,https://kaspi.kz/shop/p/hp-pavilion-all-in-one-27-xa0092urr-7ju30ea-belyi-1480720/?c=750000000
5226,desktops,100090370,Lenovo IdeaCentre A340-22ICK F0ES0053RU черный,239900,Lenovo,0,0,intel core i3 8100t,72,3100,4,intel uhd graphics 610,19,4,,false,1000,https://kaspi.kz/shop/p/lenovo-ideacentre-a340-22ick-f0es0053ru-chernyi-100090370/?c=750000000
5228,desktops,100115228,HP 24-f1006ur черный,264990,Lenovo,0,0,amd ryzen 5 3500u,70,2100,4,radeon vega 8,40,8,,true,1128,https://kaspi.kz/shop/p/hp-24-f1006ur-chernyi-100115228/?c=750000000
5229,desktops,100103632,Lenovo AIO A520-27ICB F0DE004LRK серебристый,412645,Lenovo,0,0,8400t,65,1700,6,intel uhd graphics 630,21,8,,false,1000,https://kaspi.kz/shop/p/lenovo-aio-a520-27icb-f0de004lrk-serebristyi-100103632/?c=750000000
5230,desktops,100113807,NETechnics Aerocool Klaw,890000,NETechnics,0,0,9700k,71,3600,8,gtx 1080 ti,84,6,,true,2000,https://kaspi.kz/shop/p/netechnics-aerocool-klaw-100113807/?c=750000000
